Signal,Runs,M_mean_mean,D_local_mean,TE_fwd_mean,M_mean_std,M_mean_ci95,D_local_std,D_local_ci95,TE_fwd_std,TE_fwd_ci95
constant,1,0.01793854374908399,0.0,0.010664800008466813,,,,,,
gaussian_white_noise,30,0.07101650701338932,1.129231387703847,0.00601761351787391,0.03307090403174844,0.011834271021714415,0.011502404493113037,0.004116082585532167,0.011471344095784352,0.004104967765094331
uniform_noise,30,0.062137398698714257,1.1223528465627224,0.006692993331273644,0.026367375711065427,0.009435444219987377,0.010681004452452666,0.0038221483559420077,0.011073023922450125,0.003962430721651909
pink_noise,30,1.7556154187960906,1.1285686580593066,0.01085944927282639,0.6420341803388887,0.22974898079715345,0.010540089619299156,0.0037717226305092415,0.013891999527311407,0.004971188186506914
sine,1,32.49590652829708,347618.26516629435,3.23469625865156,,,,,,
sine_trend,1,23.669198346591095,1.1413862329798623,0.34502757007165474,,,,,,
ar1,30,1.1636812179996798,1.1278745462836492,0.014269520688855793,0.17167120257568633,0.061431750881498354,0.012797817473286026,0.00457964016707565,0.01731494228014112,0.006196072519572374
lorenz,30,17.538487151099428,1.1328706710645908,0.5461322098769467,1.650894456111513,0.5907649939993654,0.013046572651627172,0.004668656064425111,0.22009179941732554,0.07875883893167743
changepoint,30,1.0646756437136167,1.1303262187155454,0.11340979066622489,0.1463460401768771,0.052369257905536176,0.009282501026878548,0.0033217003322910162,0.02427736117329336,0.008687542122857736
