exp,seed,system,noise,N,k,M,D_local,TE_forward,TE_reverse,CMI,Delta_M,Delta_D,Delta_TE,Delta_CMI,Delta_S_rel,Gap,RelGap
Noise,42,Lorenz,0.0,5000,10,20.064207539580792,1.1186790273269955,0.647102643064807,0.643250439327864,0.4731841052506187,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Noise,42,AR1,0.0,5000,10,2.989108384817877,1.1218466048316138,0.004444909153834331,0.1095503114577614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Noise,42,Causal,0.0,5000,10,0.24121875131774484,1.1214999747841323,0.22935952989013142,0.010290179779635089,0.06553060981678627,0.0,0.0,0.0,0.0,0.0,0.22935952989013142,0.9999956400519284
Noise,42,Mimic,0.0,5000,10,6.920903834036259,1.1316636419389805,0.0,0.048904119956962866,0.527096687947604,0.0,0.0,0.0,0.0,0.0,0.22935952989013142,0.9999956400519284
Noise,42,Lorenz,0.01,5000,10,19.25594087554621,1.121801348541043,0.3174762037783214,0.3082145048758971,0.28607719261353814,0.04028400635510326,0.0027910787078112976,0.5093881825691657,0.39542095890558426,0.6461150412823561,0.0,0.0
Noise,42,AR1,0.01,5000,10,2.9819170041727547,1.1301920926413342,0.009569144684519415,0.11646504519258283,0.009293286853614191,0.0024058614540872266,0.007439063213970396,1.1528324546891453,0.0,1.152858966402846,0.0,0.0
Noise,42,Causal,0.01,5000,10,0.2375090413831087,1.1317680572784865,0.2238161722698946,0.015541376045776545,0.06613673839942003,0.015379028016563873,0.009155668948035949,0.024168856741606643,0.00924954894099723,0.031464719423959495,0.2238161722698946,0.9999955320675806
Noise,42,Mimic,0.01,5000,10,6.930256492470804,1.1297205956876986,0.0,0.045343465228950386,0.5282200678857967,0.001351363732082152,0.0017169821307970526,0.0,0.002131259717390483,0.0030522908702865707,0.2238161722698946,0.9999955320675806
Noise,42,Lorenz,0.05,5000,10,16.104073296074937,1.1341820353815304,0.008371200670516998,0.016373242609349248,0.01038215121128161,0.19737307021439413,0.01385831652853831,0.9870635659423839,0.9780589603579715,1.4035818447565758,0.0,0.0
Noise,42,AR1,0.05,5000,10,2.940955179159941,1.1234949844295905,0.0,0.10962970607793476,0.0,0.016109554910257978,0.0014693449094353847,1.0,0.0,1.0001308298087153,0.0,0.0
Noise,42,Causal,0.05,5000,10,0.22351005453712602,1.123649271639508,0.2285916971898354,0.01561764147142597,0.05198493815151917,0.07341343359037654,0.0019164484205978429,0.00334772529689009,0.2067075478641014,0.21939102674159364,0.21739130377396432,0.9065786809154665
Noise,42,Mimic,0.05,5000,10,6.821839769709765,1.1299017342690274,0.01120039341587109,0.04118418114132805,0.5216464965141103,0.01431374668714617,0.0015569181554107951,0.0,0.010340022159341388,0.01772634752627023,0.21739130377396432,0.9065786809154665
Noise,42,Lorenz,0.1,5000,10,13.360726718045893,1.1218428680028067,0.0,0.006821673958300245,0.0,0.3341014494746877,0.0028281934303988764,1.0,1.0,1.4531454769633931,0.0,0.0
Noise,42,AR1,0.1,5000,10,2.845467231568694,1.1230719688484478,0.0,0.10533852033232982,1.7763568394002505e-15,0.04805484939213226,0.0010922741233575018,1.0,0.0,1.0011545642970725,0.0,0.0
Noise,42,Causal,0.1,5000,10,0.23136395086591577,1.1181488287886303,0.25113680867855326,0.008852827618666126,0.0744584142543907,0.04085420556235223,0.0029880927961207014,0.09494821862799276,0.1362386900192938,0.1710384158295776,0.25113680867855326,0.9999960181224594
Noise,42,Mimic,0.1,5000,10,6.494564335487325,1.120161862253388,0.0,0.06275733991124177,0.4811012325192321,0.0616017082121908,0.010163602734365037,0.0,0.08726189422185117,0.10729728541947102,0.25113680867855326,0.9999960181224594
Noise,42,Lorenz,0.2,5000,10,9.843414164656561,1.1294309520005232,0.0,0.0533065215074755,1.7763568394002505e-15,0.5094042889439618,0.00961126865783715,1.0,0.9999999999999962,1.5031916398382839,0.0,0.0
Noise,42,AR1,0.2,5000,10,2.585126351357353,1.1249538793458718,0.0,0.1370265602321954,0.0036148628625545243,0.13515134998530284,0.0027697855490005753,1.0,0.0,1.0090954162589567,0.0,0.0
Noise,42,Causal,0.2,5000,10,0.2285931721536647,1.1163502956078355,0.21421228965392647,0.0,0.05623364861780189,0.05234078650647321,0.004591778236364245,0.06604146879556665,0.14187203850196545,0.16507511402045774,0.21421228965392647,0.9999953317555526
Noise,42,Mimic,0.2,5000,10,5.407791129097535,1.116585558680865,0.0,0.028308060464055984,0.37600432369327397,0.21862934975304796,0.0133238205234559,0.0,0.2866501871651854,0.36075566048035573,0.21421228965392647,0.9999953317555526
SampleSize,42,Lorenz,0.0,250,10,11.592600166328793,1.0802387387181989,0.5368594808813536,0.48588622330199005,0.0,0.42222486766746226,0.03436221442413828,0.17036425884666434,1.0,1.0993082285461662,0.0,0.0
SampleSize,42,AR1,0.0,250,10,2.179799938442085,1.12429378130303,0.0,0.10023316796635529,0.0,0.27075245932412123,0.0021813824286463384,1.0,0.0,1.0360075543447356,0.0,0.0
SampleSize,42,Causal,0.0,250,10,0.19486856910192074,1.1436061591462112,0.11266462836108104,0.0,0.08345303258126213,0.19214999647672262,0.01971126603576957,0.5087859291695879,0.2734969629396745,0.6090762395734413,0.11266462836108104,0.9999911241785578
SampleSize,42,Mimic,0.0,250,10,6.291455599228147,1.1523302656225343,0.0,0.09386445930412801,0.4643595493149193,0.09094884857560845,0.018262161050030545,0.0,0.11902396669758829,0.15090362564191362,0.11266462836108104,0.9999911241785578
SampleSize,42,Lorenz,0.0,500,10,15.98724076283486,1.144362510065514,0.6873110273045464,0.6664816758673267,0.40711853173793333,0.20319600306681804,0.022958759493227704,0.06213602226890075,0.13961917312859484,0.25528438861064745,0.0,0.0
SampleSize,42,AR1,0.0,500,10,2.804666164824427,1.127987140218254,0.030573326818410074,0.06779028624629246,0.0,0.061704761503550414,0.005473596265473251,5.878279343917856,0.0,5.878605743114572,0.0,0.0
SampleSize,42,Causal,0.0,500,10,0.22369271851545403,1.1545819602407115,0.24379771149598417,0.004475461083801591,0.04518240319324951,0.07265617911770336,0.029497981453764012,0.0629499965088391,0.3105145317650375,0.32639091251374286,0.19577118593568654,0.670850773258962
SampleSize,42,Mimic,0.0,500,10,7.176029758908795,1.1492031815766872,0.04802652556029763,0.06555342882352377,0.5143094602703049,0.03686309346155839,0.015498898248294566,0.0,0.024259738240985172,0.04677219693351698,0.19577118593568654,0.670850773258962
SampleSize,42,Lorenz,0.0,1000,10,17.6244629589266,1.1198913867775884,0.4675829429587113,0.4426753000732204,0.30124092921638024,0.12159685728136994,0.001083742003718157,0.2774207492892545,0.3633747924461029,0.4730649872046083,0.0,0.0
SampleSize,42,AR1,0.0,1000,10,2.9759987086130915,1.118516239218302,0.0,0.11474521189645248,0.001314237140864094,0.004385814937782624,0.002968646158011756,1.0,0.0,1.0000140240180035,0.0,0.0
SampleSize,42,Causal,0.0,1000,10,0.17129918976164848,1.151872743518007,0.2530364199638644,0.0,0.05434646279721722,0.28985956180494016,0.02708227322048831,0.10323046129835876,0.17067057747269923,0.35289798702638936,0.25170036101935844,0.9894913656074391
SampleSize,42,Mimic,0.0,1000,10,6.777769452329345,1.1264889642352764,0.0013360589445059468,0.071656780520712,0.5247395681231555,0.020681457962613857,0.0045726287493321055,0.0,0.004471892687519291,0.021647851194686072,0.25170036101935844,0.9894913656074391
SampleSize,42,Lorenz,0.0,10000,10,19.42747782059142,1.1214630720836591,0.4689763633137325,0.4636330644495601,0.5112171326210371,0.03173460590124435,0.0024886895066906583,0.2752674272931926,0.08037680671939398,0.28852359760371055,0.0,0.0
SampleSize,42,AR1,0.0,10000,10,2.8660265173835056,1.1258473572246315,0.008490025700359283,0.10958814149745155,0.01021127614175743,0.04117678303654776,0.003566220529426278,0.9100560678581013,0.0,0.9109941229423231,0.0,0.0
SampleSize,42,Causal,0.0,10000,10,0.19865806644796802,1.1287713218945563,0.23330763314063763,0.0,0.06495582245684783,0.1764402005949938,0.0064835909709437,0.017213600204000423,0.008771280498464038,0.17761313220436728,0.217104233981261,0.8701152885493474
SampleSize,42,Mimic,0.0,10000,10,6.807841200181381,1.1277802939817985,0.01620339915937663,0.04974644245500137,0.523284418024871,0.01633639717674566,0.0034315390309158913,0.0,0.0072325818201914764,0.018192404256250655,0.217104233981261,0.8701152885493474
Hyperparameter,42,Lorenz,0.0,5000,5,20.385942429931497,1.328282689131312,0.647102643064807,0.643250439327864,0.47193582587766514,0.01603526527105623,0.18736711485970162,0.0,0.0026380416398231153,0.1880705312558435,0.0,0.0
Hyperparameter,42,AR1,0.0,5000,5,2.9734782646209528,1.3425699345578535,0.004444909153834331,0.1095503114577614,0.0,0.00522902423890412,0.19675000911498916,0.0,0.0,0.19681948272780153,0.0,0.0
Hyperparameter,42,Causal,0.0,5000,5,0.25652727099418904,1.3116574981747857,0.22935952989013142,0.010290179779635089,0.06553060981678627,0.06346322411842306,0.16955642235057128,0.0,0.0,0.18104408627688037,0.22935952989013142,0.9999956400519284
Hyperparameter,42,Mimic,0.0,5000,5,6.897923723904612,1.3369914027991994,0.0,0.048904119956962866,0.527096687947604,0.0033203914810422254,0.18143885979089375,0.0,0.0,0.18146923938179435,0.22935952989013142,0.9999956400519284
Hyperparameter,42,Lorenz,0.0,5000,20,19.69558147134927,1.0569845157156055,0.647102643064807,0.643250439327864,0.47287210796314305,0.018372321334113484,0.055149430805728726,0.0,0.0006593570747910382,0.05813292235172647,0.0,0.0
Hyperparameter,42,AR1,0.0,5000,20,3.0034989990044787,1.0565167696566733,0.004444909153834331,0.1095503114577614,0.00012579798027623212,0.004814350078335652,0.058234196095593965,0.0,0.0,0.05843286371192894,0.0,0.0
Hyperparameter,42,Causal,0.0,5000,20,0.2080930819740523,1.0530213674727096,0.22935952989013142,0.010290179779635089,0.06553060981678627,0.13732626158924863,0.061059838476236784,0.0,0.0,0.1502890747753238,0.22935952989013142,0.9999956400519284
Hyperparameter,42,Mimic,0.0,5000,20,6.997876249992639,1.0642597061877161,0.0,0.048904119956962866,0.527096687947604,0.011121728866949142,0.05956181081842937,0.0,0.0,0.06059127132648976,0.22935952989013142,0.9999956400519284
Hyperparameter,42,Lorenz,0.0,5000,50,18.813110218377883,1.023207336021447,0.647102643064807,0.643250439327864,0.4725550945635204,0.06235468401803866,0.08534323874263676,0.0,0.001329314911719524,0.10570403065260407,0.0,0.0
Hyperparameter,42,AR1,0.0,5000,50,3.0268529864052436,1.025560934821603,0.004444909153834331,0.1095503114577614,0.0,0.012627378043257647,0.08582783920308158,0.0,0.0,0.08675176458445888,0.0,0.0
Hyperparameter,42,Causal,0.0,5000,50,0.2132197345714264,1.0251610050806355,0.22935952989013142,0.010290179779635089,0.06553060981678627,0.11607313524907854,0.08590189199249898,0.0,0.0,0.1444025892234687,0.22935952989013142,0.9999956400519284
Hyperparameter,42,Mimic,0.0,5000,50,7.067797438161137,1.0248677759402187,0.0,0.048904119956962866,0.527096687947604,0.021224627252075315,0.09437067874318104,0.0,0.0,0.09672801976903188,0.22935952989013142,0.9999956400519284
